'EPIC GC IG.PG.MV Log File

'Date,GC IG.PG.MV
08/06/2023 14:56:57.400,5.37E-06
08/06/2023 14:56:58.424,5.50E-06
08/06/2023 14:56:59.435,5.37E-06
08/06/2023 14:57:00.437,5.37E-06
08/06/2023 14:57:01.450,5.37E-06
08/06/2023 14:57:02.459,5.24E-06
08/06/2023 14:57:03.469,5.50E-06
08/06/2023 14:57:04.477,5.50E-06
08/06/2023 14:57:05.483,5.37E-06
08/06/2023 14:57:06.494,5.24E-06
08/06/2023 14:57:07.517,5.24E-06
08/06/2023 14:57:08.527,5.24E-06
08/06/2023 14:57:09.529,5.12E-06
08/06/2023 14:57:11.539,5.12E-06
08/06/2023 14:57:12.549,5.00E-06
08/06/2023 14:57:13.561,5.12E-06
08/06/2023 14:57:14.575,5.00E-06
08/06/2023 14:57:15.592,5.00E-06
08/06/2023 14:57:16.598,5.12E-06
08/06/2023 14:57:18.599,5.00E-06
08/06/2023 14:57:19.601,5.00E-06
08/06/2023 14:57:21.605,5.00E-06
08/06/2023 14:57:22.614,5.00E-06
08/06/2023 14:57:23.615,5.12E-06
08/06/2023 14:57:24.628,4.88E-06
08/06/2023 14:57:25.638,5.00E-06
08/06/2023 14:57:26.649,5.00E-06
08/06/2023 14:57:27.659,5.00E-06
08/06/2023 14:57:29.672,5.00E-06
08/06/2023 14:57:30.691,5.00E-06
08/06/2023 14:57:31.702,5.00E-06
08/06/2023 14:57:33.711,5.00E-06
08/06/2023 14:57:34.714,5.00E-06
08/06/2023 14:57:35.720,5.00E-06
08/06/2023 14:57:36.730,5.00E-06
08/06/2023 14:57:37.741,5.00E-06
08/06/2023 14:57:38.749,5.00E-06
08/06/2023 14:57:39.752,5.00E-06
08/06/2023 14:57:40.761,5.00E-06
08/06/2023 14:57:41.764,4.88E-06
08/06/2023 14:57:42.777,5.00E-06
08/06/2023 14:57:43.800,5.00E-06
08/06/2023 14:57:44.812,5.00E-06
08/06/2023 14:57:45.822,5.00E-06
08/06/2023 14:57:47.825,5.00E-06
08/06/2023 14:57:48.831,5.00E-06
08/06/2023 14:57:49.843,5.00E-06
08/06/2023 14:57:50.846,4.88E-06
08/06/2023 14:57:52.854,4.65E-06
08/06/2023 14:57:53.859,4.76E-06
08/06/2023 14:57:54.870,4.76E-06
08/06/2023 14:57:55.880,4.76E-06
08/06/2023 14:57:56.894,4.65E-06
08/06/2023 14:57:57.909,4.65E-06
08/06/2023 14:57:58.917,4.76E-06
08/06/2023 14:57:59.919,4.76E-06
08/06/2023 14:58:00.938,4.76E-06
08/06/2023 14:58:02.943,4.76E-06
08/06/2023 14:58:03.950,4.65E-06
08/06/2023 14:58:04.953,4.76E-06
08/06/2023 14:58:05.956,4.65E-06
08/06/2023 14:58:07.971,4.88E-06
08/06/2023 14:58:08.983,4.76E-06
08/06/2023 14:58:10.000,4.76E-06
08/06/2023 14:58:11.006,5.00E-06
08/06/2023 14:58:12.011,4.88E-06
08/06/2023 14:58:14.016,5.00E-06
08/06/2023 14:58:16.027,5.12E-06
